date,type,amount,category,description
2024-01-01 00:00:00,refund,301.95,healthcare,Transaction 0
2024-01-01 01:00:00,refund,112.19,utilities,Transaction 1
2024-01-01 02:00:00,refund,475.53,entertainment,Transaction 2
2024-01-01 03:00:00,refund,337.42,utilities,Transaction 3
2024-01-01 04:00:00,purchase,337.0,entertainment,Transaction 4
2024-01-01 05:00:00,refund,120.18,utilities,Transaction 5
2024-01-01 06:00:00,refund,138.91,transport,Transaction 6
2024-01-01 07:00:00,refund,167.55,utilities,Transaction 7
2024-01-01 08:00:00,refund,203.38,utilities,Transaction 8
2024-01-01 09:00:00,withdrawal,358.53,groceries,Transaction 9
2024-01-01 10:00:00,purchase,93.74,groceries,Transaction 10
2024-01-01 11:00:00,purchase,358.45,utilities,Transaction 11
2024-01-01 12:00:00,refund,448.74,transport,Transaction 12
2024-01-01 13:00:00,refund,358.37,groceries,Transaction 13
2024-01-01 14:00:00,withdrawal,88.47,healthcare,Transaction 14
2024-01-01 15:00:00,refund,44.56,utilities,Transaction 15
2024-01-01 16:00:00,refund,102.19,healthcare,Transaction 16
2024-01-01 17:00:00,purchase,109.41,groceries,Transaction 17
2024-01-01 18:00:00,withdrawal,385.18,entertainment,Transaction 18
2024-01-01 19:00:00,withdrawal,88.87,entertainment,Transaction 19
2024-01-01 20:00:00,refund,57.47,transport,Transaction 20
2024-01-01 21:00:00,refund,71.92,groceries,Transaction 21
2024-01-01 22:00:00,withdrawal,129.59,groceries,Transaction 22
2024-01-01 23:00:00,refund,446.09,healthcare,Transaction 23
2024-01-02 00:00:00,refund,172.51,transport,Transaction 24
2024-01-02 01:00:00,purchase,145.05,transport,Transaction 25
2024-01-02 02:00:00,purchase,162.92,utilities,Transaction 26
2024-01-02 03:00:00,purchase,374.63,entertainment,Transaction 27
2024-01-02 04:00:00,refund,494.33,transport,Transaction 28
2024-01-02 05:00:00,purchase,422.85,utilities,Transaction 29
2024-01-02 06:00:00,purchase,224.02,entertainment,Transaction 30
2024-01-02 07:00:00,purchase,115.13,healthcare,Transaction 31
2024-01-02 08:00:00,withdrawal,388.44,transport,Transaction 32
2024-01-02 09:00:00,withdrawal,307.04,healthcare,Transaction 33
2024-01-02 10:00:00,purchase,338.81,groceries,Transaction 34
2024-01-02 11:00:00,purchase,366.3,utilities,Transaction 35
2024-01-02 12:00:00,purchase,229.75,groceries,Transaction 36
2024-01-02 13:00:00,refund,166.11,utilities,Transaction 37
2024-01-02 14:00:00,purchase,15.71,groceries,Transaction 38
2024-01-02 15:00:00,withdrawal,239.5,groceries,Transaction 39
2024-01-02 16:00:00,refund,120.98,utilities,Transaction 40
2024-01-02 17:00:00,purchase,457.75,entertainment,Transaction 41
2024-01-02 18:00:00,refund,289.08,groceries,Transaction 42
2024-01-02 19:00:00,withdrawal,368.78,healthcare,Transaction 43
2024-01-02 20:00:00,withdrawal,231.2,entertainment,Transaction 44
2024-01-02 21:00:00,withdrawal,280.05,entertainment,Transaction 45
2024-01-02 22:00:00,withdrawal,373.12,utilities,Transaction 46
2024-01-02 23:00:00,withdrawal,49.54,groceries,Transaction 47
2024-01-03 00:00:00,withdrawal,157.01,entertainment,Transaction 48
2024-01-03 01:00:00,refund,49.79,groceries,Transaction 49
2024-01-03 02:00:00,purchase,14.64,entertainment,Transaction 50
2024-01-03 03:00:00,purchase,258.02,transport,Transaction 51
2024-01-03 04:00:00,refund,257.92,utilities,Transaction 52
2024-01-03 05:00:00,refund,295.91,utilities,Transaction 53
2024-01-03 06:00:00,withdrawal,489.39,utilities,Transaction 54
2024-01-03 07:00:00,purchase,421.43,transport,Transaction 55
2024-01-03 08:00:00,withdrawal,398.72,healthcare,Transaction 56
2024-01-03 09:00:00,withdrawal,134.18,healthcare,Transaction 57
2024-01-03 10:00:00,purchase,30.29,utilities,Transaction 58
